"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.11953921863429e-52,0.312491999552032,0.72,0.707,4.0673957605592e-48,"0","VAT1"
2.50338538130841e-51,0.401465370914784,0.576,0.531,4.80399654673083e-47,"0","AGTRAP"
7.65347239409507e-51,0.773347710847213,0.34,0.282,1.46870135242684e-46,"0","TSLP"
3.60987581964008e-50,0.420809052735384,0.53,0.498,6.92735169788932e-46,"0","ERLIN1"
1.39443580937794e-49,0.587399555001064,0.405,0.36,2.67592231819627e-45,"0","LINC01481"
4.76387138618756e-49,0.25588102075706,0.821,0.832,9.14186919009393e-45,"0","RUNX1"
1.61917592364572e-48,0.741650349339383,0.305,0.248,3.10719859747614e-44,"0","HNRNPU-AS1"
2.83037555735384e-48,0.612212641260716,0.267,0.201,5.43149069456202e-44,"0","RP11-84C10.2"
2.45543788724903e-45,0.459947361952164,0.5,0.472,4.71198530563089e-41,"0","CECR5"
1.10221609364241e-44,0.281677333346873,0.696,0.703,2.11515268369979e-40,"0","C14orf142"
2.10346547448039e-44,0.518475983928965,0.442,0.411,4.03655024552786e-40,"0","FRAT2"
1.97547136741746e-42,0.272070071628025,0.709,0.704,3.7909295540741e-38,"0","FAM45A"
4.63808889857765e-42,0.29483033763988,0.679,0.679,8.90049259637051e-38,"0","RRP1B"
9.31398362845069e-42,0.54847478826441,0.375,0.327,1.78735345829969e-37,"0","FUT4"
5.79592569028137e-41,0.534162348422451,0.364,0.317,1.112238139965e-36,"0","MLC1"
7.55831290569281e-41,0.251918205800032,0.773,0.764,1.45044024660245e-36,"0","ISOC2"
9.30004285475161e-39,0.417770683156588,0.403,0.357,1.78467822382683e-34,"0","MSH6"
6.08516882063228e-36,0.401611632065107,0.512,0.494,1.16774389667933e-31,"0","SLC27A5"
1.29673908111506e-31,0.293572194684808,0.743,0.759,2.48844229665981e-27,"0","RPL22L1"
1.94410639258814e-31,0.573313785880853,0.307,0.261,3.73074016737664e-27,"0","CFD"
1.26163177697369e-30,0.658699733047842,0.287,0.248,2.42107138001251e-26,"0","THEMIS2"
2.36380478226715e-30,0.33929961768469,0.619,0.628,4.53614137717066e-26,"0","AZI2"
6.55147343873296e-30,0.341456149575328,0.539,0.543,1.25722775289285e-25,"0","MAPKAPK5-AS1"
6.62433371800235e-29,0.344716601561879,0.447,0.41,1.27120964048465e-24,"0","LYST"
1.55018385679542e-28,0.38423295872388,0.456,0.438,2.97480282119042e-24,"0","TAF7"
1.52931472756164e-27,0.384477406947281,0.408,0.381,2.93475496219079e-23,"0","ZMYND19"
1.99979720524704e-27,0.279575544938286,0.616,0.62,3.83761083686906e-23,"0","P2RY8"
4.94447703108316e-27,0.468179501896443,0.41,0.395,9.48845142264858e-23,"0","N4BP2L1"
5.8773317026387e-27,0.26445495373177,0.453,0.413,1.12785995373637e-22,"0","GINS2"
1.76213391007608e-26,0.471307590804159,0.393,0.371,3.38153497343599e-22,"0","PROK2"
4.57063687191114e-26,0.369618381043206,0.462,0.446,8.77105215719747e-22,"0","HIST3H2A"
1.00353076786919e-25,0.257713745561,0.666,0.684,1.92577554354097e-21,"0","CBWD5"
1.94034226387341e-25,0.409027983746096,0.324,0.286,3.72351680437308e-21,"0","CLEC12A"
3.79576491536685e-24,0.283671203636703,0.575,0.576,7.28407287258899e-20,"0","POLR3H"
4.49748852922079e-24,0.269482506861626,0.583,0.595,8.63068048757469e-20,"0","CCDC106"
9.30940531604885e-23,0.303848425453365,0.517,0.52,1.78647488014977e-18,"0","ERO1A"
2.42446496988294e-22,0.275276943948167,0.619,0.641,4.65254827720537e-18,"0","ILF3-AS1"
3.98455383633626e-20,0.352573857507123,0.466,0.473,7.64635881192928e-16,"0","RP11-352M15.2"
4.40525729867583e-20,0.502493172736838,0.309,0.287,8.45368875615891e-16,"0","DNAJC25"
1.57789997940569e-19,0.273039021653973,0.601,0.624,3.02799006047953e-15,"0","CBWD2"
1.81460514757126e-19,0.253025324057795,0.608,0.628,3.48222727818924e-15,"0","NCBP2"
1.39914224517089e-18,0.258290172586868,0.585,0.607,2.68495396848293e-14,"0","CYHR1"
3.00350736451869e-17,0.376519456989798,0.397,0.386,5.76373063251137e-13,"0","SLC35F2"
3.40083409644334e-17,0.43985362280096,0.321,0.301,6.52620063107476e-13,"0","FNDC3B"
3.33281029645538e-15,0.262657326464183,0.526,0.548,6.39566295889787e-11,"0","SDHAF1"
3.55144270428769e-15,0.47544086522207,0.263,0.24,6.81521854952808e-11,"0","ERN1"
5.39785126908754e-14,0.306348318778687,0.47,0.489,1.0358476585379e-09,"0","NUS1"
1.36020606188082e-13,0.372835445688724,0.345,0.336,2.6102354327493e-09,"0","CAMKK2"
5.53290785371739e-13,0.349168832170642,0.405,0.412,1.06176501712837e-08,"0","MAN1A1"
5.86706473330278e-13,0.339724479247741,0.429,0.429,1.1258897223208e-08,"0","FOSL2"
4.29960494445103e-12,0.356999315233547,0.356,0.353,8.25094188840154e-08,"0","ECE2"
2.5273355599769e-11,0.334067267411096,0.373,0.378,4.84995693959567e-07,"0","MCAT"
3.07576610278979e-11,0.418212011334454,0.338,0.338,5.90239515125361e-07,"0","CTD-3184A7.4"
3.6547025725965e-10,0.397909661773255,0.337,0.34,7.01337423681267e-06,"0","TOB2"
4.14309750814653e-10,0.372446505952599,0.353,0.356,7.9506041181332e-06,"0","FASTKD3"
1.63656703716383e-09,0.395936991136256,0.283,0.276,3.14057214431738e-05,"0","DIS3"
2.23767771541813e-09,0.256177447932086,0.461,0.486,4.29410353588739e-05,"0","CPNE1"
3.13096880791905e-09,0.393878779451411,0.297,0.294,6.00832914239665e-05,"0","BAIAP2-AS1"
6.2975752726488e-09,0.332034854944075,0.366,0.374,0.00012085046948213,"0","KIF9"
5.6893827099827e-08,0.258650061191151,0.497,0.532,0.00109179254204568,"0","ZDHHC2"
6.71251590753653e-08,0.271711174152184,0.415,0.434,0.00128813180265626,"0","TCEB3"
7.48139050861246e-08,0.25227201147637,0.468,0.498,0.00143567883860273,"0","CPSF6"
8.20091524699808e-08,0.455111005152365,0.254,0.249,0.00157375563589893,"0","OCLN"
1.53489112838106e-07,0.330399565693686,0.348,0.357,0.00294545607536325,"0","CD302"
1.78647854704456e-07,0.407961344196512,0.269,0.266,0.00342825233177851,"0","CERCAM"
2.24431373972e-07,0.367911940533494,0.385,0.407,0.00430683806652267,"0","PCF11"
5.01852980230866e-07,0.395227204696792,0.269,0.266,0.00963055869063032,"0","ZNF263"
7.92655987902452e-07,0.255782853387385,0.304,0.303,0.0152110684078481,"0","ANXA2R"
3.02981759404616e-06,0.256068692178388,0.342,0.349,0.0581421996297457,"0","ANPEP"
3.22351556189582e-06,0.303985445226376,0.339,0.348,0.0618592636327808,"0","MFSD1"
3.57362408584795e-06,0.268507968682597,0.388,0.405,0.0685778462074222,"0","RREB1"
3.91698201979486e-06,0.365818018777496,0.257,0.254,0.0751668849598633,"0","MIR762HG"
7.14373962739679e-06,0.267084302000019,0.377,0.395,0.137088363449744,"0","ATXN7L3B"
8.5466712075725e-06,0.342998213753125,0.289,0.294,0.164010620473316,"0","CPD"
1.02487540667125e-05,0.347136128998585,0.267,0.267,0.196673590540214,"0","LINC00869"
1.45840069642905e-05,0.351043538663315,0.3,0.305,0.279867093644735,"0","SERINC5"
2.10106235262912e-05,0.29420459076158,0.314,0.318,0.403193865469528,"0","PLD6"
5.504077631392e-05,0.360503105203557,0.253,0.255,1,"0","SCARB1"
7.04040820459686e-05,0.286287889423196,0.316,0.326,1,"0","B4GALT5"
0.000104092178545847,0.25311996207432,0.355,0.372,1,"0","REL"
0.000235880356844098,0.354968199538747,0.281,0.283,1,"0","TRPM4"
0.000327693979906166,0.291961562666375,0.261,0.263,1,"0","KIAA0930"
0.000441197348170041,0.254293724242489,0.312,0.323,1,"0","CHCHD7"
0.000524777595754644,0.280709701693943,0.266,0.268,1,"0","CD3EAP"
0.000961018286550403,0.408837554838464,0.244,0.251,1,"0","GRAMD4"
0.00131759490747361,0.26229875909677,0.369,0.395,1,"0","IFI6"
0.00162844739482301,0.25955292852527,0.32,0.338,1,"0","TGFBRAP1"
0.00222834030754682,0.270152548388183,0.293,0.306,1,"0","ADCK3"
0.00290456538544085,0.270488541985621,0.278,0.288,1,"0","TRIM14"
0.00919662643206707,0.274064522852074,0.264,0.275,1,"0","NMB"
0,1.21606681679441,0.825,0.536,0,"1","TK1"
0,0.944040256652582,0.746,0.467,0,"1","RRM2"
0,1.00790224325035,0.683,0.411,0,"1","MYBL2"
0,1.1043661197938,0.658,0.391,0,"1","BIN1"
0,1.18797975792567,0.789,0.522,0,"1","MDK"
0,0.877579568099582,0.728,0.475,0,"1","HELLS"
0,0.876031339406166,0.7,0.463,0,"1","RAD51AP1"
0,0.835398521691719,0.767,0.534,0,"1","CLSPN"
0,1.0812536410099,0.535,0.308,0,"1","FAM213A"
0,0.863899919526156,0.782,0.555,0,"1","CCDC109B"
0,0.854754620935883,0.828,0.601,0,"1","TMEM106C"
0,1.0843886640281,0.527,0.302,0,"1","TM4SF1"
0,0.869754944027781,0.857,0.644,0,"1","VAMP5"
0,0.774443541730789,0.777,0.565,0,"1","PCNA"
0,0.773029535261727,0.874,0.666,0,"1","SPINK2"
0,0.755035810156661,0.917,0.732,0,"1","NGFRAP1"
0,0.807474092478051,0.943,0.796,0,"1","TYMS"
0,0.623083204063556,0.944,0.813,0,"1","C12orf75"
0,0.560147029207564,0.916,0.799,0,"1","DNAJC9"
0,0.813050456766412,0.957,0.858,0,"1","HIST1H4C"
0,0.492922158871161,0.967,0.9,0,"1","IDH2"
0,0.451552189814385,0.973,0.917,0,"1","RAD23A"
0,0.525178877121079,0.985,0.937,0,"1","CD164"
0,0.56028923150347,0.992,0.968,0,"1","CDK4"
0,0.506660707509772,0.998,0.982,0,"1","CD74"
0,0.368578139521178,0.995,0.979,0,"1","SIVA1"
0,0.66471572703395,1,0.984,0,"1","DUT"
0,0.526687591671319,0.995,0.981,0,"1","KIAA0101"
0,0.404568791777854,0.997,0.984,0,"1","DEK"
0,0.515109792646199,1,0.988,0,"1","PRDX1"
0,0.395377819903905,0.99,0.979,0,"1","TUBB"
0,0.344342432126555,0.996,0.987,0,"1","STMN1"
0,0.425040938440547,1,0.997,0,"1","RANBP1"
0,0.278932059485254,1,0.998,0,"1","H2AFZ"
0,0.301625421690071,1,0.998,0,"1","GSTP1"
0,0.280606477898056,0.999,0.998,0,"1","SUMO2"
0,0.349179717290674,1,1,0,"1","MALAT1"
6.26089284244699e-301,0.365005584819887,0.991,0.956,1.20146533646558e-296,"1","H2AFY"
2.50423976976526e-288,0.75962943683217,0.774,0.581,4.80563611817954e-284,"1","MEF2C"
1.17388204121732e-283,0.91046142006249,0.584,0.365,2.25267963709604e-279,"1","WBP5"
2.80650231227058e-282,0.328555477071946,0.991,0.986,5.38567793724725e-278,"1","PPDPF"
1.06093081572649e-279,0.366288921472204,0.992,0.971,2.03592623537914e-275,"1","POMP"
1.96016016991055e-270,1.02346433873455,0.538,0.322,3.76154736605835e-266,"1","GLIPR1"
7.19872169346893e-270,0.314463788928574,0.998,0.989,1.38143469297669e-265,"1","NAA38"
1.51094616654161e-268,0.418115722768776,0.973,0.9,2.89950569359334e-264,"1","HLA-DPA1"
1.18004940283813e-267,0.66839689188602,0.777,0.603,2.26451480404638e-263,"1","WDR34"
4.12688468335681e-267,0.577638178119638,0.856,0.73,7.91949170736172e-263,"1","CKLF"
6.61233677149836e-266,0.596708798390159,0.767,0.562,1.26890742645053e-261,"1","LINC00152"
3.6688723239724e-260,0.717226673838483,0.751,0.572,7.04056598970303e-256,"1","DHFR"
2.3387659946715e-257,0.845201256597901,0.62,0.415,4.48809194377461e-253,"1","ASF1B"
4.05555223290025e-253,0.602902357575819,0.833,0.67,7.78260473493559e-249,"1","ZWINT"
4.39393557433068e-251,0.298565917715441,0.999,0.976,8.43196236714058e-247,"1","CALM2"
